,Topology,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,Star Probability,Where,MPINT,MPolka CRC8,MPolka CRC16,INT Clássico
298,Gambia,1,28,28,1.5357142857142858,10,114,0.39285714285714285,DataPlane,2285,2814.0,3570.0,4364
28,Navigata,1,13,17,1.6153846153846154,4,55,0.38461538461538464,DataPlane,836,900.0,1056.0,2198
114,Cesnet1997,1,13,12,1.4615384615384615,4,51,0.38461538461538464,DataPlane,1184,1236.0,1392.0,2208
66,Cesnet200304,1,29,33,1.5517241379310345,10,119,0.3793103448275862,DataPlane,2272,2820.0,3632.0,5587
84,Uran,1,24,24,1.4166666666666667,8,92,0.375,DataPlane,2381,2714.0,3266.0,3879
112,Garr199901,1,16,18,1.625,5,68,0.375,DataPlane,993,1122.0,1362.0,2547
288,KentmanJul2005,1,16,17,1.4375,5,62,0.375,DataPlane,1505,1602.0,1842.0,3374
42,Restena,1,19,21,1.4736842105263157,6,75,0.3684210526315789,DataPlane,1454,1650.0,1992.0,2807
52,Cesnet200706,1,44,51,1.6818181818181819,15,192,0.36363636363636365,DataPlane,3137,4638.0,6530.0,8389
198,Niif,1,36,41,1.5555555555555556,12,148,0.3611111111111111,DataPlane,2725,3686.0,4946.0,5572
122,Twaren,1,20,20,1.7,6,88,0.35,DataPlane,1285,1494.0,1874.0,4411
102,Aconet,1,23,31,1.6521739130434783,7,99,0.34782608695652173,DataPlane,1634,1950.0,2456.0,4864
106,Garr199904,1,23,25,1.7391304347826086,7,103,0.34782608695652173,DataPlane,1370,1710.0,2216.0,3995
20,Renater2001,1,24,27,1.5416666666666667,7,98,0.3333333333333333,DataPlane,2305,2570.0,3122.0,6872
44,Garr200112,1,24,26,1.75,7,108,0.3333333333333333,DataPlane,1425,1802.0,2354.0,4245
234,Arpanet19706,1,9,10,1.3333333333333333,2,33,0.3333333333333333,DataPlane,672,680.0,752.0,1203
